fecha_hecho,latitud,longitud,sexo,edad,estado_civil,medio_transporte,modalidad,conducta_especial,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna,lugar,sede_receptora,bien,categoria_bien,color,fecha,lat,lon,id_hecho,coord_imputada,edad_imputada,comuna,anio,mes,hora,dia,anio_mes,franja
12/06/2018 18:30,624.673.302,-7.556.830.526,Hombre,59.0,Casado(a),Metro,Cosquilleo,,No,Guayaquil,#1007,10,Estación del Metro,Candelaria,Celular,Tecnología,Blanco,2018-06-12 18:30:00,6.24673302,-75.56830526,2018-06-12 18:30:00|624.673.302|-7.556.830.526|Hombre|59.0|Guayaquil|Estación del Metro|Cosquilleo,False,False,La Candelaria,2018,6,18,Martes,2018-06-01,Noche (18-23)
14/06/2018 18:30,625.315.706,-75.587.977,Hombre,30.0,Soltero(a),Metro,Cosquilleo,,No,U.D. Atanasio Girardot,#Inst_14,11,Estación del Metro,Laureles,Celular,Tecnología,Negro,2018-06-14 18:30:00,6.25315706,-75.587977,2018-06-14 18:30:00|625.315.706|-75.587.977|Hombre|30.0|U.D. Atanasio Girardot|Estación del Metro|Cosquilleo,False,False,Laureles-Estadio,2018,6,18,Jueves,2018-06-01,Noche (18-23)
15/06/2018 21:00,624.447.272,-7.556.422.786,Mujer,56.0,Casado(a),Taxi,Atraco,,Arma cortopunzante,La Candelaria,#1019,10,Vía pública,Candelaria,Celular,Tecnología,Amarillo,2018-06-15 21:00:00,6.24447272,-75.56422786,2018-06-15 21:00:00|624.447.272|-7.556.422.786|Mujer|56.0|La Candelaria|Vía pública|Atraco,False,False,La Candelaria,2018,6,21,Viernes,2018-06-01,Noche (18-23)
15/06/2018 20:30,626.947.012,-7.556.584.746,Hombre,53.0,Unión marital de hecho,Metro,Cosquilleo,No,No,Parque Norte,#Inst_9,4,Estación del Metro,Aranjuez,Tablet,Tecnología,Gris,2018-06-15 20:30:00,6.26947012,-75.56584746,2018-06-15 20:30:00|626.947.012|-7.556.584.746|Hombre|53.0|Parque Norte|Estación del Metro|Cosquilleo,False,False,Aranjuez,2018,6,20,Viernes,2018-06-01,Noche (18-23)
18/06/2018 20:00,624.388.266,-7.556.842.731,Mujer,30.0,Soltero(a),Taxi,Atraco,,Arma cortopunzante,Barrio Colón,#1013,10,Bus de servicio público,Candelaria,Celular,Tecnología,Negro,2018-06-18 20:00:00,6.24388266,-75.56842731,2018-06-18 20:00:00|624.388.266|-7.556.842.731|Mujer|30.0|Barrio Colón|Bus de servicio público|Atraco,False,False,La Candelaria,2018,6,20,Lunes,2018-06-01,Noche (18-23)
22/06/2018 5:55,625.050.683,-7.556.831.235,Hombre,29.0,Soltero(a),Metro,Cosquilleo,,No,La Candelaria,#1019,10,Estación del Metro,Candelaria,Celular,Tecnología,,2018-06-22 05:55:00,6.25050683,-75.56831235,2018-06-22 05:55:00|625.050.683|-7.556.831.235|Hombre|29.0|La Candelaria|Estación del Metro|Cosquilleo,False,False,La Candelaria,2018,6,5,Viernes,2018-06-01,Madrugada (0-5)
24/06/2018 23:30,623.897.738,-7.559.749.863,Mujer,23.0,Soltero(a),Taxi,Atraco,No,No,Laureles,#1108,11,Bar o cantina,Laureles,Celular,Tecnología,Oro,2018-06-24 23:30:00,6.23897738,-75.59749863,2018-06-24 23:30:00|623.897.738|-7.559.749.863|Mujer|23.0|Laureles|Bar o cantina|Atraco,False,False,Laureles-Estadio,2018,6,23,Domingo,2018-06-01,Noche (18-23)
27/06/2018 11:00,624.322.983,-7.556.673.847,Hombre,55.0,Casado(a),Taxi,Raponazo,,No,Las Palmas,#1014,10,Vía pública,Candelaria,Celular,Tecnología,Azul,2018-06-27 11:00:00,6.24322983,-75.56673847,2018-06-27 11:00:00|624.322.983|-7.556.673.847|Hombre|55.0|Las Palmas|Vía pública|Raponazo,False,False,La Candelaria,2018,6,11,Miércoles,2018-06-01,Mañana (6-11)
28/06/2018 17:00,624.340.501,-7.556.904.465,Hombre,28.0,Soltero(a),Taxi,Raponazo,De celular,No,Barrio Colón,#1013,10,Vía pública,Candelaria,Celular,Tecnología,Negro,2018-06-28 17:00:00,6.24340501,-75.56904465,2018-06-28 17:00:00|624.340.501|-7.556.904.465|Hombre|28.0|Barrio Colón|Vía pública|Raponazo,False,False,La Candelaria,2018,6,17,Jueves,2018-06-01,Tarde (12-17)
30/06/2018 8:00,621.313.236,-7.557.744.423,Hombre,29.0,Casado(a),Autobus,Cosquilleo,De celular,No,Patio Bonito,#1421,14,Bus de servicio público,Poblado,Celular,Tecnología,,2018-06-30 08:00:00,6.21313236,-75.57744423,2018-06-30 08:00:00|621.313.236|-7.557.744.423|Hombre|29.0|Patio Bonito|Bus de servicio público|Cosquilleo,False,False,El Poblado,2018,6,8,Sábado,2018-06-01,Mañana (6-11)
03/07/2018 8:00,621.522.282,-7.558.180.386,Mujer,33.0,Soltero(a),Autobus,Cosquilleo,,No,Campo Amor,#1507,15,Bus de servicio público,Belén,Celular,Tecnología,Negro,2018-07-03 08:00:00,6.21522282,-75.58180386,2018-07-03 08:00:00|621.522.282|-7.558.180.386|Mujer|33.0|Campo Amor|Bus de servicio público|Cosquilleo,False,False,Guayabal,2018,7,8,Martes,2018-07-01,Mañana (6-11)
12/07/2018 19:00,62.645.254,-7.556.757.828,Mujer,38.0,Soltero(a),Autobus,Raponazo,,No,Universidad de Antioquia,#Inst_11,4,Vehículo particular,Aranjuez,Celular,Tecnología,Negro,2018-07-12 19:00:00,6.2645254,-75.56757828,2018-07-12 19:00:00|62.645.254|-7.556.757.828|Mujer|38.0|Universidad de Antioquia|Vehículo particular|Raponazo,False,False,Aranjuez,2018,7,19,Jueves,2018-07-01,Noche (18-23)
27/07/2018 7:45,624.734.852,-7.556.981.174,Mujer,25.0,Unión marital de hecho,Metro,Cosquilleo,,No,La Candelaria,#1019,10,Estación del Metro,Candelaria,Celular,Tecnología,Negro,2018-07-27 07:45:00,6.24734852,-75.56981174,2018-07-27 07:45:00|624.734.852|-7.556.981.174|Mujer|25.0|La Candelaria|Estación del Metro|Cosquilleo,False,False,La Candelaria,2018,7,7,Viernes,2018-07-01,Mañana (6-11)
03/08/2018 20:00,624.727.119,-7.556.986.538,Mujer,36.0,Unión marital de hecho,Metro,Cosquilleo,,No,Guayaquil,#1007,10,Vía pública,Candelaria,Celular,Tecnología,Blanco,2018-08-03 20:00:00,6.24727119,-75.56986538,2018-08-03 20:00:00|624.727.119|-7.556.986.538|Mujer|36.0|Guayaquil|Vía pública|Cosquilleo,False,False,La Candelaria,2018,8,20,Viernes,2018-08-01,Noche (18-23)
12/08/2018 20:00,625.528.591,-7.561.632.663,Hombre,43.0,Soltero(a),Metro,Cosquilleo,De celular,No,San Javier No.1,#1309,13,Estación del Metro,San Javier,Celular,Tecnología,,2018-08-12 20:00:00,6.25528591,-75.61632663,2018-08-12 20:00:00|625.528.591|-7.561.632.663|Hombre|43.0|San Javier No.1|Estación del Metro|Cosquilleo,False,False,San Javier,2018,8,20,Domingo,2018-08-01,Noche (18-23)
18/08/2018 7:00,624.730.852,-7.556.984.929,Hombre,42.0,Soltero(a),Metro,Cosquilleo,,No,Guayaquil,#1007,10,Bus de servicio público,Candelaria,Cédula,Documentos,,2018-08-18 07:00:00,6.24730852,-75.56984929,2018-08-18 07:00:00|624.730.852|-7.556.984.929|Hombre|42.0|Guayaquil|Bus de servicio público|Cosquilleo,False,False,La Candelaria,2018,8,7,Sábado,2018-08-01,Mañana (6-11)
18/08/2018 7:00,624.730.852,-7.556.984.929,Hombre,42.0,Soltero(a),Metro,Cosquilleo,,No,Guayaquil,#1007,10,Bus de servicio público,Candelaria,Celular,Tecnología,Blanco,2018-08-18 07:00:00,6.24730852,-75.56984929,2018-08-18 07:00:00|624.730.852|-7.556.984.929|Hombre|42.0|Guayaquil|Bus de servicio público|Cosquilleo,False,False,La Candelaria,2018,8,7,Sábado,2018-08-01,Mañana (6-11)
18/08/2018 11:00,620.727.306,-7.558.749.223,Hombre,51.0,Casado(a),Taxi,Descuido,,No,Cristo Rey,#1509,15,Bus de servicio público,Belén,Celular,Tecnología,Negro,2018-08-18 11:00:00,6.20727306,-75.58749223,2018-08-18 11:00:00|620.727.306|-7.558.749.223|Hombre|51.0|Cristo Rey|Bus de servicio público|Descuido,False,False,Guayabal,2018,8,11,Sábado,2018-08-01,Mañana (6-11)
19/08/2018 0:00,621.284.299,-7.557.796.031,Mujer,35.0,Soltero(a),Metro,Cosquilleo,De celular,No,Patio Bonito,#1421,14,Vía pública,Poblado,Celular,Tecnología,,2018-08-19 00:00:00,6.21284299,-75.57796031,2018-08-19 00:00:00|621.284.299|-7.557.796.031|Mujer|35.0|Patio Bonito|Vía pública|Cosquilleo,False,False,El Poblado,2018,8,0,Domingo,2018-08-01,Madrugada (0-5)
19/08/2018 5:45,625.987.075,-7.555.602.301,Hombre,56.0,Casado(a),Taxi,Atraco,A taxista,Arma de fuego,La Mansión,#0802,8,Bus de servicio público,Villa Hermosa,Celular,Tecnología,,2018-08-19 05:45:00,6.25987075,-75.55602301,2018-08-19 05:45:00|625.987.075|-7.555.602.301|Hombre|56.0|La Mansión|Bus de servicio público|Atraco,False,False,Villa Hermosa,2018,8,5,Domingo,2018-08-01,Madrugada (0-5)
21/08/2018 7:30,629.361.579,-7.555.690.683,Mujer,27.0,Soltero(a),Autobus,Cosquilleo,,No,Santa Cruz,#0210,2,Paradero de bus,Santa Cruz,Ropa exterior,Prendas de vestir y accesorios,,2018-08-21 07:30:00,6.29361579,-75.55690683,2018-08-21 07:30:00|629.361.579|-7.555.690.683|Mujer|27.0|Santa Cruz|Paradero de bus|Cosquilleo,False,False,Santa Cruz,2018,8,7,Martes,2018-08-01,Mañana (6-11)
21/08/2018 4:30,629.549.822,-7.555.627.403,Hombre,35.0,Soltero(a),Taxi,Atraco,,Arma de fuego,Villa Niza,#0208,2,Vía pública,Santa Cruz,Peso,"Dinero, joyas, piedras preciosas y título valor",,2018-08-21 04:30:00,6.29549822,-75.55627403,2018-08-21 04:30:00|629.549.822|-7.555.627.403|Hombre|35.0|Villa Niza|Vía pública|Atraco,False,False,Santa Cruz,2018,8,4,Martes,2018-08-01,Madrugada (0-5)
21/08/2018 8:30,623.524.321,-7.557.282.325,Hombre,31.0,Soltero(a),Autobus,Cosquilleo,De celular,No,Perpetuo Socorro,#1012,10,Bus de servicio público,Candelaria,Celular,Tecnología,Negro,2018-08-21 08:30:00,6.23524321,-75.57282325,2018-08-21 08:30:00|623.524.321|-7.557.282.325|Hombre|31.0|Perpetuo Socorro|Bus de servicio público|Cosquilleo,False,False,La Candelaria,2018,8,8,Martes,2018-08-01,Mañana (6-11)
24/08/2018 7:30,627.296.208,-7.557.483.586,Hombre,42.0,Divorciado(a),Taxi,Escopolamina,,Escopolamina,Progreso,#0519,5,Bodega,Castilla,Peso,"Dinero, joyas, piedras preciosas y título valor",,2018-08-24 07:30:00,6.27296208,-75.57483586,2018-08-24 07:30:00|627.296.208|-7.557.483.586|Hombre|42.0|Progreso|Bodega|Escopolamina,False,False,Castilla,2018,8,7,Viernes,2018-08-01,Mañana (6-11)
26/08/2018 13:30,625.177.304,-7.557.611.056,Hombre,45.0,Casado(a),Taxi,,,No,Corazón de Jesús,#1008,10,Almacén tienda y otro,Candelaria,Sin dato documentos,Documentos,,2018-08-26 13:30:00,6.25177304,-75.57611056,2018-08-26 13:30:00|625.177.304|-7.557.611.056|Hombre|45.0|Corazón de Jesús|Almacén tienda y otro|<NA>,False,False,La Candelaria,2018,8,13,Domingo,2018-08-01,Tarde (12-17)
30/08/2018 10:30,623.000.873,-755.730.301,Mujer,17.0,Soltero(a),Autobus,Atraco,,Arma de fuego,Barrio Colombia,#1401,14,Vía pública,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,,2018-08-30 10:30:00,6.23000873,-75.5730301,2018-08-30 10:30:00|623.000.873|-755.730.301|Mujer|17.0|Barrio Colombia|Vía pública|Atraco,False,False,El Poblado,2018,8,10,Jueves,2018-08-01,Mañana (6-11)
31/08/2018 6:30,624.366.664,-7.557.676.096,Mujer,36.0,Casado(a),Autobus,Atraco,,Arma cortopunzante,La Alpujarra,#Inst_16,10,Vía pública,Candelaria,Peso,"Dinero, joyas, piedras preciosas y título valor",,2018-08-31 06:30:00,6.24366664,-75.57676096,2018-08-31 06:30:00|624.366.664|-7.557.676.096|Mujer|36.0|La Alpujarra|Vía pública|Atraco,False,False,La Candelaria,2018,8,6,Viernes,2018-08-01,Mañana (6-11)
31/08/2018 0:30,6.272.811,-75.593.331,Hombre,47.0,Soltero(a),Taxi,Atraco,,Arma de fuego,San Germán,#0703,7,Vía pública,Castilla,Peso,"Dinero, joyas, piedras preciosas y título valor",,2018-08-31 00:30:00,6.272811,-75.593331,2018-08-31 00:30:00|6.272.811|-75.593.331|Hombre|47.0|San Germán|Vía pública|Atraco,False,False,Robledo,2018,8,0,Viernes,2018-08-01,Madrugada (0-5)
04/09/2018 19:30,619.533.409,-7.557.898.108,Hombre,35.0,Casado(a),Autobus,Cosquilleo,,No,La Aguacatala,#1422,14,Bus de servicio público,Poblado,Celular,Tecnología,Gris,2018-09-04 19:30:00,6.19533409,-75.57898108,2018-09-04 19:30:00|619.533.409|-7.557.898.108|Hombre|35.0|La Aguacatala|Bus de servicio público|Cosquilleo,False,False,El Poblado,2018,9,19,Martes,2018-09-01,Noche (18-23)
06/09/2018 7:00,623.031.946,-7.557.559.819,Hombre,27.0,Casado(a),Metro,Cosquilleo,,No,Barrio Colombia,#1401,14,Estación del Metro,Poblado,Celular,Tecnología,Negro,2018-09-06 07:00:00,6.23031946,-75.57559819,2018-09-06 07:00:00|623.031.946|-7.557.559.819|Hombre|27.0|Barrio Colombia|Estación del Metro|Cosquilleo,False,False,El Poblado,2018,9,7,Jueves,2018-09-01,Mañana (6-11)
